year,county,office,district,candidate,party,votes
2022,Bullitt,CONSTABLE 1st Magisterial District,,Robert WATKINS,REP,4117
2022,Bullitt,CONSTABLE 2nd Magisterial District,,Eric W. SULLIVAN,REP,5012
2022,Bullitt,CONSTABLE 2nd Magisterial District,,Kent ROBY,DEM,2092
2022,Bullitt,CONSTABLE 3rd Magisterial District,,Larry E. WATKINS,REP,4664
2022,Bullitt,CONSTABLE 4th Magisterial District,,Frank ROUSE,DEM,1798
2022,Bullitt,CONSTABLE 4th Magisterial District,,Mark WILLIAMS,REP,3922
2022,Bullitt,CORONER,,David E. BILLINGS,REP,19320
2022,Bullitt,COUNTY ATTORNEY,,Tammy R. BAKER,REP,19179
2022,Bullitt,COUNTY CLERK,,Kevin MOONEY,REP,20190
2022,Bullitt,COUNTY JUDGE/EXECUTIVE,,"Jerral ""Jerry"" SUMMERS",REP,19198
2022,Bullitt,JAILER,,Bryan WHITTAKER,REP,19257
2022,Bullitt,MAGISTRATE 1st Magisterial District,,Herb HIBBS,DEM,1394
2022,Bullitt,MAGISTRATE 1st Magisterial District,,Vera J. SANDERS,REP,3846
2022,Bullitt,MAGISTRATE 2nd Magisterial District,,Shaun LOGSDON,REP,5717
2022,Bullitt,MAGISTRATE 3rd Magisterial District,,Karen JOHNSON,REP,4663
2022,Bullitt,MAGISTRATE 4th Magisterial District,,Brian BLEEMEL,REP,4609
2022,Bullitt,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,75
2022,Bullitt,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,210
2022,Bullitt,MEMBER BOARD of EDUCATION 4th Educational District,,Democratic Party,DEM,56
2022,Bullitt,MEMBER BOARD of EDUCATION 4th Educational District,,Republican Party,REP,279
2022,Bullitt,PROPERTY VALUATION ADMINISTRATOR,,"Clinton ""Clint"" MATTINGLY",REP,19332
2022,Bullitt,SHERIFF,,Brian GREENWELL,DEM,6305
2022,Bullitt,SHERIFF,,Walt SHOLAR,REP,18135
2022,Bullitt,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Democratic Party,DEM,155
2022,Bullitt,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Melissa F. HUGGETT,W,36
2022,Bullitt,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Republican Party,REP,533
2022,Bullitt,STATE REPRESENTATIVE 26th Representative District,26,Russell WEBBER,REP,8076
2022,Bullitt,STATE REPRESENTATIVE 37th Representative District,37,Emily CALLAWAY,REP,664
2022,Bullitt,STATE REPRESENTATIVE 37th Representative District,37,Jeffery Martin DONOHUE,DEM,287
2022,Bullitt,STATE REPRESENTATIVE 49th Representative District,49,Thomas HUFF,REP,10594
2022,Bullitt,STATE SENATOR 38th Senatorial District,38,Mike NEMES,REP,19472
2022,Bullitt,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2,Hank LINDERMAN,DEM,6262
2022,Bullitt,UNITED STATES REPRESENTATIVE in CONGRESS 2nd Congressional District,2,S. Brett GUTHRIE,REP,18335
2022,Bullitt,UNITED STATES SENATOR,,Billy Ray WILSON,W,0
2022,Bullitt,UNITED STATES SENATOR,,Charles BOOKER,DEM,6895
2022,Bullitt,UNITED STATES SENATOR,,Charles Lee THOMASON,W,2
2022,Bullitt,UNITED STATES SENATOR,,Rand PAUL,REP,17945
2022,Calloway,CITY COUNCIL City of Hazel,,Democratic Party,DEM,37
2022,Calloway,CITY COUNCIL City of Hazel,,Republican Party,REP,76
2022,Calloway,CITY COUNCIL City of Murray,,Democratic Party,DEM,484
2022,Calloway,CITY COUNCIL City of Murray,,Republican Party,REP,1284
2022,Calloway,CONSTABLE 1st Magisterial District,,"Jedediah ""Levi"" LAMB",REP,1506
2022,Calloway,CONSTABLE 1st Magisterial District,,Randy W. LEE,DEM,925
2022,Calloway,CONSTABLE 2nd Magisterial District,,Joseph SWARTHOUT,REP,1271
2022,Calloway,CONSTABLE 2nd Magisterial District,,Michael R. HOLT,DEM,968
2022,Calloway,CONSTABLE 3rd Magisterial District,,Tim STONE,DEM,2604
2022,Calloway,CONSTABLE 4th Magisterial District,,Brandon ELDRIDGE,DEM,1606
2022,Calloway,CORONER,,Ricky GARLAND,DEM,8391
2022,Calloway,COUNTY ATTORNEY,,K. Bryan ERNSTBERGER,REP,8581
2022,Calloway,COUNTY ATTORNEY,,Madison LEACH,DEM,3156
2022,Calloway,COUNTY CLERK,,Antonia Dunn FAULKNER,DEM,7563
2022,Calloway,COUNTY CLERK,,"James M. ""Mike"" TINSLEY",REP,4170
2022,Calloway,COUNTY JUDGE/EXECUTIVE,,Kenny IMES,REP,8889
2022,Calloway,COUNTY SURVEYOR,,Christopher Bradley JONES,REP,8793
2022,Calloway,DISTRICT JUDGE 42nd Judicial District,,Democratic Party,DEM,369
2022,Calloway,DISTRICT JUDGE 42nd Judicial District,,Republican Party,REP,567
2022,Calloway,JAILER,,Kenneth L. CLAUD,DEM,5944
2022,Calloway,JAILER,,William Zachary LAMB,REP,5544
2022,Calloway,MAGISTRATE 1st Magisterial District,,Phillip Lynn ROGERS,DEM,901
2022,Calloway,MAGISTRATE 1st Magisterial District,,Ricky STEWART,REP,1625
2022,Calloway,MAGISTRATE 2nd Magisterial District,,Larry CRUTCHER,REP,1472
2022,Calloway,MAGISTRATE 2nd Magisterial District,,Mark A. MALLORY,DEM,902
2022,Calloway,MAGISTRATE 3rd Magisterial District,,Don CHERRY,REP,3029
2022,Calloway,MAGISTRATE 4th Magisterial District,,Paul W. RISTER,REP,2085
2022,Calloway,MEMBER BOARD of EDUCATION 1st Educational District,,Democratic Party,DEM,136
2022,Calloway,MEMBER BOARD of EDUCATION 1st Educational District,,Republican Party,REP,152
2022,Calloway,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,151
2022,Calloway,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,313
2022,Calloway,MEMBER BOARD of EDUCATION Murray Independent School District,,Democratic Party,DEM,133
2022,Calloway,MEMBER BOARD of EDUCATION Murray Independent School District,,Republican Party,REP,201
2022,Calloway,PROPERTY VALUATION ADMINISTRATOR,,Nikki McMILLEN-CROUCH,DEM,8003
2022,Calloway,SHERIFF,,Danny WILLIAMS,DEM,3715
2022,Calloway,SHERIFF,,Nicky J. KNIGHT,REP,8083
2022,Calloway,STATE REPRESENTATIVE 5th Representative District,5,Mary Beth IMES,REP,8913
2022,Calloway,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,James R. COMER,REP,8288
2022,Calloway,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,Jimmy C. AUSBROOKS,DEM,3483
2022,Calloway,UNITED STATES SENATOR,,Billy Ray WILSON,W,0
2022,Calloway,UNITED STATES SENATOR,,Charles BOOKER,DEM,3934
2022,Calloway,UNITED STATES SENATOR,,Charles Lee THOMASON,W,1
2022,Calloway,UNITED STATES SENATOR,,Rand PAUL,REP,7906
2022,Campbell,CITY COMMISSIONERS City of California,,Democratic Party,DEM,74
2022,Campbell,CITY COMMISSIONERS City of California,,Republican Party,REP,228
2022,Campbell,CITY COMMISSIONERS City of Crestview,,Democratic Party,DEM,128
2022,Campbell,CITY COMMISSIONERS City of Crestview,,Republican Party,REP,217
2022,Campbell,CITY COMMISSIONERS City of Melbourne,,Democratic Party,DEM,111
2022,Campbell,CITY COMMISSIONERS City of Melbourne,,Republican Party,REP,374
2022,Campbell,CITY COMMISSIONERS City of Mentor,,Democratic Party,DEM,178
2022,Campbell,CITY COMMISSIONERS City of Mentor,,John Eric BROCK,W,25
2022,Campbell,CITY COMMISSIONERS City of Mentor,,Keith FUTSCHER,W,27
2022,Campbell,CITY COMMISSIONERS City of Mentor,,Lawrence STRASINGER,W,31
2022,Campbell,CITY COMMISSIONERS City of Mentor,,Margaret GOSNEY,W,30
2022,Campbell,CITY COMMISSIONERS City of Mentor,,Republican Party,REP,88
2022,Campbell,CITY COMMISSIONERS City of Newport,,Democratic Party,DEM,771
2022,Campbell,CITY COMMISSIONERS City of Newport,,Republican Party,REP,726
2022,Campbell,CITY COMMISSIONERS City of Woodlawn,,Democratic Party,DEM,151
2022,Campbell,CITY COMMISSIONERS City of Woodlawn,,Republican Party,REP,199
2022,Campbell,CITY COUNCIL City of Alexandria,,Democratic Party,DEM,672
2022,Campbell,CITY COUNCIL City of Alexandria,,Dirk GLAHN,W,72
2022,Campbell,CITY COUNCIL City of Alexandria,,Fred MACKE III,W,188
2022,Campbell,CITY COUNCIL City of Alexandria,,Republican Party,REP,1790
2022,Campbell,CITY COUNCIL City of Alexandria,,Robert STRONG,W,220
2022,Campbell,CITY COUNCIL City of Bellevue,,Democratic Party,DEM,371
2022,Campbell,CITY COUNCIL City of Bellevue,,Republican Party,REP,473
2022,Campbell,CITY COUNCIL City of Cold Spring,,Democratic Party,DEM,324
2022,Campbell,CITY COUNCIL City of Cold Spring,,Republican Party,REP,671
2022,Campbell,CITY COUNCIL City of Dayton,,Democratic Party,DEM,288
2022,Campbell,CITY COUNCIL City of Dayton,,Republican Party,REP,408
2022,Campbell,CITY COUNCIL City of Ft. Thomas,,Democratic Party,DEM,1178
2022,Campbell,CITY COUNCIL City of Ft. Thomas,,Republican Party,REP,1996
2022,Campbell,CITY COUNCIL City of Highland Heights,,Democratic Party,DEM,427
2022,Campbell,CITY COUNCIL City of Highland Heights,,Republican Party,REP,611
2022,Campbell,CITY COUNCIL City of Silver Grove,,Democratic Party,DEM,285
2022,Campbell,CITY COUNCIL City of Silver Grove,,Republican Party,REP,620
2022,Campbell,CITY COUNCIL City of Southgate,,Democratic Party,DEM,274
2022,Campbell,CITY COUNCIL City of Southgate,,Republican Party,REP,663
2022,Campbell,CITY COUNCIL City of Wilder,,Democratic Party,DEM,32
2022,Campbell,CITY COUNCIL City of Wilder,,Jeffrey A MOLES,W,123
2022,Campbell,CITY COUNCIL City of Wilder,,Republican Party,REP,56
2022,Campbell,CONSTABLE 1st Magisterial District,,Ken WARDEN,REP,9353
2022,Campbell,CONSTABLE 2nd Magisterial District,,John P. ROTH JR.,REP,9183
2022,Campbell,CONSTABLE 3rd Magisterial District,,Jim PELUSO,DEM,5592
2022,Campbell,CORONER,,Mark SCHWEITZER,REP,24811
2022,Campbell,COUNTY ATTORNEY,,Steven J. FRANZEN,REP,24957
2022,Campbell,COUNTY CLERK,,Jim LUERSEN,REP,25316
2022,Campbell,COUNTY COMMISSIONER 1st District,,Brian D. PAINTER,REP,20420
2022,Campbell,COUNTY COMMISSIONER 1st District,,Melissa WHALEN,DEM,14262
2022,Campbell,COUNTY COMMISSIONER 2nd District,,Geoff BESECKER,REP,24110
2022,Campbell,COUNTY COMMISSIONER 3rd District,,Patti Michelle PIATT,DEM,13202
2022,Campbell,COUNTY COMMISSIONER 3rd District,,Tom LAMPE,REP,21199
2022,Campbell,COUNTY JUDGE/EXECUTIVE,,Steve PENDERY,REP,24942
2022,Campbell,COUNTY SURVEYOR,,Ryan M. HARTIG,REP,24032
2022,Campbell,JAILER,,James A. DALEY,REP,24687
2022,Campbell,JUSTICE of the PEACE 1st Magisterial District,,Frank MEYER,REP,9406
2022,Campbell,JUSTICE of the PEACE 2nd Magisterial District,,James J. W. GLAHN,REP,8211
2022,Campbell,JUSTICE of the PEACE 2nd Magisterial District,,Suzanne SPARKS,DEM,3715
2022,Campbell,JUSTICE of the PEACE 3rd Magisterial District,,Michael DUTLE,DEM,5563
2022,Campbell,MAYOR City of Mentor,,Peggy Schoulties FURY,W,46
2022,Campbell,PROPERTY VALUATION ADMINISTRATOR,,Daniel K. BRAUN,REP,25012
2022,Campbell,SHERIFF,,Mike JANSEN,REP,25239
2022,Campbell,SOIL and WATER DISTRICT SUPERVISORS,,Democratic Party,DEM,255
2022,Campbell,SOIL and WATER DISTRICT SUPERVISORS,,Republican Party,REP,455
2022,Campbell,STATE REPRESENTATIVE 67th Representative District,67,Jerry C. GEARDING,REP,5996
2022,Campbell,STATE REPRESENTATIVE 67th Representative District,67,Rachel ROBERTS,DEM,7673
2022,Campbell,STATE REPRESENTATIVE 68th Representative District,68,Kelly JONES,DEM,6909
2022,Campbell,STATE REPRESENTATIVE 68th Representative District,68,Mike CLINES,REP,11964
2022,Campbell,STATE REPRESENTATIVE 78th Representative District,78,Mark HART,REP,2246
2022,Campbell,STATE SENATOR 24th Senatorial District,24,Rene HEINRICH,DEM,14537
2022,Campbell,STATE SENATOR 24th Senatorial District,24,"Shelley ""Funke"" FROMMEYER",REP,20796
2022,Campbell,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District,4,Ethan Keith OSBORNE,IND,1413
2022,Campbell,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District,4,Matthew LEHMAN,DEM,13797
2022,Campbell,UNITED STATES REPRESENTATIVE in CONGRESS 4th Congressional District,4,Thomas MASSIE,REP,20362
2022,Campbell,UNITED STATES SENATOR,,Billy Ray WILSON,W,1
2022,Campbell,UNITED STATES SENATOR,,Charles BOOKER,DEM,14812
2022,Campbell,UNITED STATES SENATOR,,Charles Lee THOMASON,W,2
2022,Campbell,UNITED STATES SENATOR,,Rand PAUL,REP,20849
2022,Christian,CITY COMMISSIONERS City of Lafayette,,Democratic Party,DEM,12
2022,Christian,CITY COMMISSIONERS City of Lafayette,,Republican Party,REP,49
2022,Christian,CITY COMMISSIONERS City of Pembroke,,Democratic Party,DEM,8
2022,Christian,CITY COMMISSIONERS City of Pembroke,,Republican Party,REP,43
2022,Christian,CITY COUNCIL City of Crofton,,Democratic Party,DEM,73
2022,Christian,CITY COUNCIL City of Crofton,,Republican Party,REP,126
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 1,,Natasha Sophia FRANCIS,REP,4244
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 1,,Vance D. SMITH,DEM,3529
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 10,,Steve KEEL,REP,5640
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 11,,Jason BELL,REP,5202
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 11,,Jose QUINONEZ,DEM,2625
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 12,,Matthew HANDY,REP,4157
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 12,,Phillip BROOKS,DEM,3695
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 2,,Bruce SMILEY,REP,5687
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 3,,Donald MARSH,REP,4246
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 3,,Karen BASS,DEM,3634
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 4,,Chuck CRABTREE,REP,5619
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 5,,Amy CRAIG,REP,5633
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 6,,"Nichelle' ""Niecy"" HILLIS",DEM,3191
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 6,,Travis W. MARTIN,REP,4823
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 7,,Doug WILCOX,REP,4650
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 7,,William L. COLEMAN,DEM,3221
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 8,,Robert Terry MEEK,REP,4512
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 8,,Twyla DILLARD,DEM,3338
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 9,,Jamie Lynn LIENBERGER,REP,4371
2022,Christian,CITY COUNCIL City of Hopkinsville Ward 9,,Patricia A. WADDELL-BELL,DEM,3508
2022,Christian,CITY COUNCIL City of Oak Grove,,Democratic Party,DEM,78
2022,Christian,CITY COUNCIL City of Oak Grove,,Republican Party,REP,137
2022,Christian,CONSTABLE 1st Magisterial District,,Eddie R. CANNON,DEM,841
2022,Christian,CONSTABLE 2nd Magisterial District,,"Patricia ""Pat"" GRESHAM",DEM,1081
2022,Christian,CONSTABLE 3rd Magisterial District,,Joshua GYDESEN,REP,1485
2022,Christian,CONSTABLE 3rd Magisterial District,,Thomas GILLILAND III.,DEM,864
2022,Christian,CONSTABLE 4th Magisterial District,,Larry BAILEY,REP,2139
2022,Christian,CONSTABLE 5th Magisterial District,,Glenn RICKARD,REP,1014
2022,Christian,CONSTABLE 5th Magisterial District,,"James ""Jim"" SMITH",DEM,793
2022,Christian,CONSTABLE 6th Magisterial District,,"James ""Gene"" GLASS",DEM,425
2022,Christian,CONSTABLE 6th Magisterial District,,Sherry BYERLINE,REP,700
2022,Christian,CONSTABLE 7th Magisterial District,,Richard F. LEAVELL III.,DEM,1374
2022,Christian,CONSTABLE 8th Magisterial District,,Joshua Logan NEWTON,DEM,520
2022,Christian,CONSTABLE 8th Magisterial District,,"Mike O. ""Bubba"" HADDOCK",REP,1583
2022,Christian,CORONER,,Scott DANIEL,REP,12115
2022,Christian,COUNTY ATTORNEY,,Lincoln Williams FOSTER,IND,9637
2022,Christian,COUNTY CLERK,,Melinda A. HUMPHRIES,REP,7933
2022,Christian,COUNTY CLERK,,Walter G. CUMMINGS,DEM,7414
2022,Christian,COUNTY JUDGE/EXECUTIVE,,Jerry W. GILLIAM,REP,8186
2022,Christian,COUNTY JUDGE/EXECUTIVE,,Steve TRIBBLE,DEM,7269
2022,Christian,COUNTY SURVEYOR,,"Wm. ""Bill"" CHAUDOIN JR.",REP,11617
2022,Christian,DISTRICT JUDGE 3rd Judicial District 2nd Divison,,Democratic Party,DEM,1137
2022,Christian,DISTRICT JUDGE 3rd Judicial District 2nd Divison,,Republican Party,REP,1759
2022,Christian,JAILER,,Adam SMITH,REP,11962
2022,Christian,MAGISTRATE 1st Magisterial District,,Magaline FERGUSON,DEM,868
2022,Christian,MAGISTRATE 2nd Magisterial District,,Josh TURNER,REP,924
2022,Christian,MAGISTRATE 2nd Magisterial District,,Mark WELLS,DEM,789
2022,Christian,MAGISTRATE 3rd Magisterial District,,George BARNETT,REP,1386
2022,Christian,MAGISTRATE 3rd Magisterial District,,Mark E. CANSLER,DEM,1088
2022,Christian,MAGISTRATE 4th Magisterial District,,J. E. PRYOR,REP,2210
2022,Christian,MAGISTRATE 5th Magisterial District,,A. J. ROGERS,REP,834
2022,Christian,MAGISTRATE 5th Magisterial District,,Rich G. LIEBE,DEM,1043
2022,Christian,MAGISTRATE 6th Magisterial District,,Phillip PETERSON,REP,903
2022,Christian,MAGISTRATE 7th Magisterial District,,David FERNANDEZ,DEM,670
2022,Christian,MAGISTRATE 7th Magisterial District,,Russ GUFFEY,REP,1454
2022,Christian,MAGISTRATE 8th Magisterial District,,John M. BRUCE,REP,1477
2022,Christian,MAGISTRATE 8th Magisterial District,,Terry BOWMAN,DEM,660
2022,Christian,MAYOR City of Hopkinsville,,Alethea M. WEST,DEM,3233
2022,Christian,MAYOR City of Hopkinsville,,James R. KNIGHT JR.,REP,5018
2022,Christian,MEMBER BOARD of EDUCATION 3rd Educational District,,Democratic Party,DEM,563
2022,Christian,MEMBER BOARD of EDUCATION 3rd Educational District,,Republican Party,REP,666
2022,Christian,MEMBER BOARD of EDUCATION 5th Educational District,,Democratic Party,DEM,500
2022,Christian,MEMBER BOARD of EDUCATION 5th Educational District,,Republican Party,REP,920
2022,Christian,PROPERTY VALUATION ADMINISTRATOR,,Angie M. STRADER,DEM,10096
2022,Christian,SHERIFF,,Tyler DeARMOND,REP,12378
2022,Christian,STATE REPRESENTATIVE 16th Representative District,16,Jason PETRIE,REP,1122
2022,Christian,STATE REPRESENTATIVE 8th Representative District,8,Pam DOSSETT,DEM,2521
2022,Christian,STATE REPRESENTATIVE 8th Representative District,8,Walker Wood THOMAS,REP,4191
2022,Christian,STATE REPRESENTATIVE 9th Representative District,9,Bianca L. CROCKAM,DEM,2349
2022,Christian,STATE REPRESENTATIVE 9th Representative District,9,Myron B. DOSSETT,REP,5123
2022,Christian,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,James R. COMER,REP,10638
2022,Christian,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,Jimmy C. AUSBROOKS,DEM,4688
2022,Christian,UNITED STATES SENATOR,,Charles BOOKER,DEM,5210
2022,Christian,UNITED STATES SENATOR,,Rand PAUL,REP,10255
2022,Clark,CONSTABLE 1st Magisterial District,,Doug WOODALL,REP,1827
2022,Clark,CONSTABLE 2nd Magisterial District,,Travis McINTOSH,REP,1792
2022,Clark,CONSTABLE 3rd Magisterial District,,Geoff SEBESTA,DEM,613
2022,Clark,CONSTABLE 3rd Magisterial District,,"Shelby ""Lynn"" TOLER II.",REP,1855
2022,Clark,CONSTABLE 4th Magisterial District,,David Wayne PUCKETT,REP,938
2022,Clark,CONSTABLE 4th Magisterial District,,Phillip WRIGHT,DEM,565
2022,Clark,CONSTABLE 5th Magisterial District,,Jerry EDWARDS JR.,REP,1158
2022,Clark,CORONER,,Neal OLIVER,REP,9241
2022,Clark,COUNTY ATTORNEY,,William ELKINS,REP,8923
2022,Clark,COUNTY CLERK,,Linda JAKO,REP,4743
2022,Clark,COUNTY CLERK,,Michelle TURNER,DEM,8088
2022,Clark,COUNTY JUDGE/EXECUTIVE,,Justin CHARLES,DEM,5097
2022,Clark,COUNTY JUDGE/EXECUTIVE,,Les YATES,REP,7564
2022,Clark,JAILER,,"Frank ""Squatty"" DOYLE",DEM,7179
2022,Clark,JAILER,,Paul E. WYATT,REP,5533
2022,Clark,MAGISTRATE 1st Magisterial District,,Daniel KONSTANTOPOULOS,REP,1942
2022,Clark,MAGISTRATE 2nd Magisterial District,,Ernest PASLEY,REP,1820
2022,Clark,MAGISTRATE 3rd Magisterial District,,Lee WATTS,DEM,702
2022,Clark,MAGISTRATE 3rd Magisterial District,,Steve CRAYCRAFT,REP,1833
2022,Clark,MAGISTRATE 4th Magisterial District,,Mark D. MILLER,REP,1101
2022,Clark,MAGISTRATE 5th Magisterial District,,Christopher M. DAVIS,REP,936
2022,Clark,MAGISTRATE 5th Magisterial District,,Leonard SHORTRIDGE,DEM,761
2022,Clark,MAGISTRATE 6th Magisterial District,,Jeremy WILSON,REP,620
2022,Clark,MAGISTRATE 6th Magisterial District,,Robert G. BLANTON,DEM,941
2022,Clark,PROPERTY VALUATION ADMINISTRATOR,,Jada BRADY,REP,6341
2022,Clark,PROPERTY VALUATION ADMINISTRATOR,,"Jason ""Apple"" NEELY",DEM,6331
2022,Clark,SHERIFF,,Berl PERDUE JR.,REP,10042
2022,Clark,STATE REPRESENTATIVE 73rd Representative District,73,D. Ryan DOTSON,REP,7221
2022,Clark,STATE REPRESENTATIVE 73rd Representative District,73,Thomas Weston ADAMS III.,DEM,5338
2022,Clark,STATE SENATOR 28th Senatorial District,28,Joshua D. BUCKMAN,W,191
2022,Clark,STATE SENATOR 28th Senatorial District,28,Ralph ALVARADO,REP,9045
2022,Clark,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6,Andy BARR,REP,9075
2022,Clark,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6,"Geoffrey M. ""Geoff"" YOUNG",DEM,3381
2022,Clark,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6,Maurice Randall CRAVENS III.,W,184
2022,Clark,UNITED STATES REPRESENTATIVE in CONGRESS 6th Congressional District,6,Maxwell Keith FROEDGE,W,2
2022,Clark,UNITED STATES SENATOR,,Billy Ray WILSON,W,0
2022,Clark,UNITED STATES SENATOR,,Charles BOOKER,DEM,4533
2022,Clark,UNITED STATES SENATOR,,Charles Lee THOMASON,W,2
2022,Clark,UNITED STATES SENATOR,,Rand PAUL,REP,8270
2022,Crittenden,CITY COUNCIL City of Marion,,Democratic Party,DEM,53
2022,Crittenden,CITY COUNCIL City of Marion,,Republican Party,REP,290
2022,Crittenden,CONSTABLE 1st Magisterial District,,Barry R. BROWN,REP,374
2022,Crittenden,CONSTABLE 2nd Magisterial District,,Jimmy Vernon DALTON,REP,516
2022,Crittenden,CONSTABLE 3rd Magisterial District,,Paul BEARD,REP,353
2022,Crittenden,CONSTABLE 4th Magisterial District,,Lynn GOODRICH,REP,265
2022,Crittenden,CONSTABLE 5th Magisterial District,,Gregory J. Rushing,W,17
2022,Crittenden,CONSTABLE 6th Magisterial District,,Beverly Don HERRIN,REP,401
2022,Crittenden,CORONER,,Bradley R. GILBERT,REP,2698
2022,Crittenden,COUNTY ATTORNEY,,Bart FRAZER,REP,2514
2022,Crittenden,COUNTY CLERK,,Daryl K. TABOR,REP,2632
2022,Crittenden,COUNTY JUDGE/EXECUTIVE,,Perry A. NEWCOM,REP,2707
2022,Crittenden,JAILER,,Athena PERRY-HAYES,REP,2634
2022,Crittenden,MAGISTRATE 1st Magisterial District,,Dave Allen BELT,REP,416
2022,Crittenden,MAGISTRATE 2nd Magisterial District,,Matt GRIMES,REP,544
2022,Crittenden,MAGISTRATE 3rd Magisterial District,,Robert KIRBY,REP,387
2022,Crittenden,MAGISTRATE 4th Magisterial District,,Chadwick Wayne THOMAS,DEM,207
2022,Crittenden,MAGISTRATE 5th Magisterial District,,Travis PERRYMAN,REP,529
2022,Crittenden,MAGISTRATE 6th Magisterial District,,Jason MARTIN,DEM,151
2022,Crittenden,MAGISTRATE 6th Magisterial District,,Scott L. BELT,REP,357
2022,Crittenden,MAYOR City of Marion,,D'anna Browning,W,348
2022,Crittenden,MEMBER BOARD of EDUCATION 2nd Educational District,,Democratic Party,DEM,39
2022,Crittenden,MEMBER BOARD of EDUCATION 2nd Educational District,,Republican Party,REP,159
2022,Crittenden,PROPERTY VALUATION ADMINISTRATOR,,Todd PERRYMAN,REP,2723
2022,Crittenden,SHERIFF,,"Donald E. ""Don"" YOUNG",DEM,859
2022,Crittenden,SHERIFF,,Evan Franklin HEAD,REP,2189
2022,Crittenden,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Democratic Party,DEM,74
2022,Crittenden,SOIL and WATER CONSERVATION DISTRICT SUPERVISORS,,Republican Party,REP,475
2022,Crittenden,STATE REPRESENTATIVE 12th Representative District,12,Alan C. LOSSNER,DEM,509
2022,Crittenden,STATE REPRESENTATIVE 12th Representative District,12,Jim GOOCH JR.,REP,2523
2022,Crittenden,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,James R. COMER,REP,2608
2022,Crittenden,UNITED STATES REPRESENTATIVE in CONGRESS 1st Congressional District,1,Jimmy C. AUSBROOKS,DEM,460
2022,Crittenden,UNITED STATES SENATOR,,Charles BOOKER,DEM,534
2022,Crittenden,UNITED STATES SENATOR,,Rand PAUL,REP,2540
2022,Daviess,CITY COMMISSIONERS City of Owensboro,,Democratic Party,DEM,3338
2022,Daviess,CITY COMMISSIONERS City of Owensboro,,Republican Party,REP,5500
2022,Daviess,CITY COMMISSIONERS City of Whitesville,,Democratic Party,DEM,119
2022,Daviess,CITY COMMISSIONERS City of Whitesville,,Republican Party,REP,338
2022,Daviess,CONSTABLE Central Magisterial District,,Steve NAVE,REP,6080
2022,Daviess,CONSTABLE Central Magisterial District,,"Willis ""Murry"" MORRIS",DEM,3442
2022,Daviess,CONSTABLE East Magisterial District,,Dan BENNETT,REP,8976
2022,Daviess,CONSTABLE West Magisterial District,,Kris D. CRAWFORD,REP,5722
2022,Daviess,CONSTABLE West Magisterial District,,Scott D. SMITH,DEM,4136
2022,Daviess,CORONER,,Jeff JONES,REP,24154
2022,Daviess,COUNTY ATTORNEY,,John BURLEW,REP,24037
2022,Daviess,COUNTY CLERK,,Leslie A. McCARTY,REP,24361
2022,Daviess,COUNTY COMMISSIONER Central District,,Larry CONDER,REP,22158
2022,Daviess,COUNTY COMMISSIONER Central District,,Tyler SAGARDOY,DEM,9988
2022,Daviess,COUNTY COMMISSIONER Eastern District,,Janie MARKSBERRY,REP,23290
